model,split,precision,recall,mAP50,mAP50_95
YOLO11s_1280,val,0.8736671,0.8738503,0.9076241,0.5051567
YOLO11s_1280,test,0.8802885,0.8663570,0.9018129,0.5021455
RTDETR_L_640,val,0.8838354,0.8546971,0.9049232,0.4719154
RTDETR_L_640,test,0.8862587,0.8387827,0.8869201,0.4701086
